meeting_id,transcript_words,summary_words,n_key_points,kp_coverage,rouge1_summary,rouge1_keypoints,rouge1_blended,rouge2_f,rougeL_f,compression_ratio,meets_target
EN2001a,266,43,10,1.0,0.2154,0.361,0.2882,0.0622,0.1333,0.1617,True
EN2001b,255,90,6,0.8333,0.2986,0.2154,0.257,0.0822,0.2081,0.3529,True
EN2001d,237,46,4,1.0,0.1758,0.1957,0.1857,0.0444,0.1099,0.1941,False
EN2001e,252,50,7,0.7143,0.1809,0.1921,0.1865,0.0538,0.1489,0.1984,False
EN2003a,219,48,5,0.6,0.1509,0.1467,0.1488,0.051,0.1384,0.2192,False
EN2004a,191,38,5,0.6,0.1986,0.1846,0.1916,0.0576,0.1702,0.199,False
EN2005a,243,43,5,1.0,0.1356,0.2527,0.1942,0.0229,0.0904,0.177,False
EN2006a,169,45,3,1.0,0.2857,0.2393,0.2625,0.1527,0.2406,0.2663,True
EN2006b,141,52,10,0.7,0.4848,0.4628,0.4738,0.3077,0.4697,0.3688,True
EN2009b,177,52,7,1.0,0.2329,0.3741,0.3035,0.1111,0.2192,0.2938,True
