clip_id,ref_words,hyp_words,raw_wer,norm_wer,meets_target
EN2001a_clip00,22,18,0.3182,0.2381,True
EN2001a_clip01,5,2,0.8,0.6,False
EN2001a_clip02,15,13,0.4667,0.4,False
EN2001a_clip03,20,20,0.3,0.1579,True
EN2001a_clip04,4,4,0.25,0.25,False
EN2001a_clip05,26,21,0.2308,0.16,True
EN2001a_clip06,24,27,0.4167,0.2917,False
EN2001a_clip07,24,22,0.25,0.0833,True
EN2001a_clip08,9,9,0.3333,0.0,True
EN2001a_clip09,18,14,0.3889,0.2222,True
EN2001a_clip10,10,10,0.1,0.0,True
EN2001a_clip11,12,8,0.4167,0.3333,False
EN2001a_clip12,16,16,0.1875,0.0625,True
EN2001a_clip13,14,12,0.2143,0.0769,True
EN2001a_clip14,14,11,0.2857,0.1538,True
EN2001a_clip15,1,1,1.0,0.0,True
EN2001a_clip16,8,8,0.125,0.125,True
EN2001a_clip17,9,10,0.3333,0.2222,True
EN2001a_clip18,17,15,0.1765,0.1176,True
EN2001a_clip19,31,25,0.2581,0.2333,True
EN2001b_clip00,14,13,0.1429,0.0714,True
EN2001b_clip01,3,3,1.0,0.0,True
EN2001b_clip02,10,9,0.3,0.1,True
EN2001b_clip03,13,11,0.4615,0.1667,True
EN2001b_clip04,18,18,0.5,0.3889,False
EN2001b_clip05,10,10,0.2,0.2,True
EN2001b_clip06,14,13,0.2143,0.1429,True
EN2001b_clip07,13,13,0.0769,0.0,True
EN2001b_clip08,7,8,0.2857,0.1429,True
EN2001b_clip09,9,8,0.5556,0.3333,False
EN2001b_clip10,19,17,0.2105,0.0556,True
EN2001b_clip11,10,7,0.5,0.3,False
EN2001b_clip12,7,6,0.2857,0.1429,True
EN2001b_clip13,18,15,0.2778,0.1667,True
EN2001b_clip14,22,22,0.0909,0.0,True
EN2001b_clip15,21,20,0.0952,0.0476,True
EN2001b_clip16,21,21,0.0476,0.0,True
EN2001b_clip17,4,4,0.5,0.25,False
EN2001b_clip18,29,21,0.3793,0.3448,False
EN2001b_clip19,20,16,0.35,0.25,False
EN2001d_clip00,5,5,0.2,0.0,True
EN2001d_clip01,18,19,0.2778,0.2222,True
