crash_id,degree_of_crash,degree_of_crash_-_detailed,reporting_year,year_of_crash,month_of_crash,day_of_week_of_crash,two-hour_intervals,street_of_crash,street_type,distance,direction,identifying_feature,identifying_feature_type,town,route_no.,school_zone_location,school_zone_active,type_of_location,latitude,longitude,lga,urbanisation,conurbation_1,alignment,primary_permanent_feature,primary_temporary_feature,primary_hazardous_feature,street_lighting,road_surface,surface_condition,weather,natural_lighting,signals_operation,other_traffic_control,speed_limit,road_classification_(admin),rum_-_code,rum_-_description,dca_-_code,dca_-_description,dca_supplement,first_impact_type,key_tu_type,other_tu_type,no._of_traffic_units_involved,no._killed,no._seriously_injured,no._moderately_injured,no._minor-other_injured,month_num,month_label,season,day_label,time_label,time_band,is_peak_commute,is_fatal,is_injury,is_casualty
1339151,Fatal,Fatal,2024,2024,January,Monday,08:00 - 09:59,APPIN,RD,650,North,SOUTHERN EXPRESSWAY,OP,CATARACT,177.0,No,Not a school zone,2-way undivided,-34.297807,150.90541,Wollongong,Wollongong met. area,Syd-Newc-Woll Gtr conurbation,Curved,Embankment/cutting,,,Off,Sealed,Wet,Raining,Daylight,Nil,No traffic controls,80 km/h,State,81,Off left/rt bnd=>obj,803,Off right bend into obj,Left,Vehicle - Object,Car (sedan/hatch),,1,1,0,0,0,1,January,Summer,Monday,08:00 - 09:59,AM peak / school commute,True,True,False,True
1339984,Fatal,Fatal,2024,2024,January,Wednesday,14:00 - 15:59,CASTLEREAGH,HWY,3000,North,BERIDA,RD,CURBAN,18.0,No,Not a school zone,2-way undivided,-31.525981,148.556366,Gilgandra,Country non-urban,Rest of NSW - Rural,Curved,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,110 km/h,State,20,Head on,201,Opp - Head on,,Head-on,Light truck utility(from 2018),4 wheel drive / SUV,2,1,0,2,1,1,January,Summer,Wednesday,14:00 - 15:59,Midday / afternoon,False,True,False,True
1339986,Fatal,Fatal,2024,2024,January,Thursday,16:00 - 17:59,GWYDIR,HWY,0,Right on the spot,GREENS,LANE,SWAN CREEK,12.0,No,Not a school zone,X-intersection,-29.668729,152.981533,Clarence Valley,Country non-urban,Rest of NSW - Rural,Straight,,,,Nil,Sealed,Dry,Fine,Dusk,Nil,No traffic controls,100 km/h,State,40,U turn,304,Same - U-turn,,Other angle,Car (sedan/hatch),B-double (road train prior 98),2,1,0,2,0,1,January,Summer,Thursday,16:00 - 17:59,PM peak / evening commute,True,True,False,True
1339987,Fatal,Fatal,2024,2024,January,Friday,16:00 - 17:59,LAKE,RD,20,North,PACIFIC,ST,WOOLGOOLGA,4007.0,No,Not a school zone,2-way undivided,-30.108237,153.199993,Coffs Harbour,Country urban,Rest of NSW - Urban,Straight,,,,Nil,Sealed,Wet,Overcast,Daylight,Nil,No traffic controls,50 km/h,Regional,73,Off rd rght => obj,704,Right off cway into obj,,Vehicle - Object,4 wheel drive / SUV,,1,1,1,0,0,1,January,Summer,Friday,16:00 - 17:59,PM peak / evening commute,True,True,False,True
1340598,Fatal,Fatal,2024,2024,January,Tuesday,06:00 - 07:59,GWYDIR,HWY,635,East,LOWER COLDSTREAM,RD,COWPER,12.0,No,Not a school zone,2-way undivided,-29.565287,153.118005,Clarence Valley,Country non-urban,Rest of NSW - Rural,Straight,,,,Nil,Sealed,Dry,Overcast,Daylight,Nil,No traffic controls,100 km/h,State,20,Head on,201,Opp - Head on,,Head-on,Car (sedan/hatch),Semi-trailer,2,1,0,1,0,1,January,Summer,Tuesday,06:00 - 07:59,AM peak / school commute,True,True,False,True
1340599,Fatal,Fatal,2024,2024,January,Wednesday,20:00 - 21:59,MEROO,RD,50,North,MULGEN,CRES,BOMADERRY,,No,Not a school zone,2-way undivided,-34.846279,150.61107,Shoalhaven,Country urban,Rest of NSW - Urban,Straight,Painted double centre lines,,,Off,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,50 km/h,Local,20,Head on,201,Opp - Head on,,Head-on,Light truck utility(from 2018),Car (sedan/hatch),2,1,3,0,0,1,January,Summer,Wednesday,20:00 - 21:59,Evening / night,False,True,False,True
1340600,Fatal,Fatal,2024,2024,January,Friday,08:00 - 09:59,CROOKED RIVER,RD,500,North,BEACH,RD,GERROA,7643.0,No,Not a school zone,2-way undivided,-34.786712,150.778569,Kiama,Country urban,Rest of NSW - Urban,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,80 km/h,Regional,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,4 wheel drive / SUV,,1,1,0,0,0,1,January,Summer,Friday,08:00 - 09:59,AM peak / school commute,True,True,False,True
1340601,Fatal,Fatal,2024,2024,January,Friday,06:00 - 07:59,MAMRE,RD,760,South,BAKERS,LANE,KEMPS CREEK,536.0,No,Not a school zone,2-way undivided,-33.838282,150.780969,Penrith,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Wet,Raining,Dawn,Nil,No traffic controls,80 km/h,State,50,Head on (overtake),501,Ovtak - Head on,,Head-on,Car (sedan/hatch),Light truck utility(from 2018),3,1,1,1,0,1,January,Summer,Friday,06:00 - 07:59,AM peak / school commute,True,True,False,True
1340602,Fatal,Fatal,2024,2024,January,Friday,16:00 - 17:59,EDNA,AVE,70,North,HIGHLAND,AVE,TOONGABBIE,,No,Not a school zone,2-way undivided,-33.780853,150.949502,Parramatta,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Driveway/entrance,,Potholes/corrugations/rough,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,Local,7,Driveway,7,Ped - driveway,,Vehicle - Pedestrian,4 wheel drive / SUV,Pedestrian,2,1,0,1,0,1,January,Summer,Friday,16:00 - 17:59,PM peak / evening commute,True,True,False,True
1341169,Fatal,Fatal,2024,2024,January,Monday,20:00 - 21:59,WINDSOR,RD,0,Right on the spot,MCGRATH,RD,MCGRATHS HILL,184.0,No,Not a school zone,T-junction,-33.620474,150.83605,Hawkesbury,Country urban,Syd-Newc-Woll Gtr conurbation,Straight,,,,On,Sealed,Wet,Fine,Darkness,Nil,No traffic controls,80 km/h,State,33,Lane sideswipe,305,Same - Lane side swipe,,Other angle,Car (sedan/hatch),Car (sedan/hatch),2,2,1,1,0,1,January,Summer,Monday,20:00 - 21:59,Evening / night,False,True,False,True
1341170,Fatal,Fatal,2024,2024,January,Monday,14:00 - 15:59,REDFERN,ST,0,Right on the spot,FLINT,LANE,COWRA,310.0,No,Not a school zone,T-junction,-33.830677,148.68327,Cowra,Country urban,Rest of NSW - Urban,Curved,Painted double centre lines,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,State,20,Head on,201,Opp - Head on,,Head-on,4 wheel drive / SUV,Station wagon,2,1,1,0,0,1,January,Summer,Monday,14:00 - 15:59,Midday / afternoon,False,True,False,True
1341171,Fatal,Fatal,2024,2024,January,Wednesday,04:00 - 05:59,SANDY CREEK,RD,0,Right on the spot,NUMBER 154,HN,MOUNT VINCENT,,No,Not a school zone,2-way undivided,-32.923794,151.464243,Cessnock,Country urban,Rest of NSW - Urban,Curved,,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,80 km/h,Local,81,Off left/rt bnd=>obj,803,Off right bend into obj,Left,Vehicle - Object,Car (sedan/hatch),,1,1,0,0,0,1,January,Summer,Wednesday,04:00 - 05:59,Late night / early morning,False,True,False,True
1341172,Fatal,Fatal,2024,2024,January,Monday,16:00 - 17:59,STURT,HWY,560,East,OLD COMMON,RD,HAY SOUTH,14.0,No,Not a school zone,2-way undivided,-34.520925,144.873001,Hay,Country non-urban,Rest of NSW - Rural,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,110 km/h,State,40,U turn,304,Same - U-turn,,Other angle,Car (sedan/hatch),Road train,2,2,1,1,1,1,January,Summer,Monday,16:00 - 17:59,PM peak / evening commute,True,True,False,True
1341173,Fatal,Fatal,2024,2024,January,Wednesday,20:00 - 21:59,PACIFIC,HWY,500,East,LONDON,DR,WADALBA,10.0,No,Not a school zone,2-way undivided,-33.261737,151.457182,Central Coast,Country urban,Syd-Newc-Woll Gtr conurbation,Curved,,,,Nil,Sealed,Wet,Raining,Darkness,Nil,No traffic controls,70 km/h,State,2,Ped far side,3,Ped - Far side,,Vehicle - Pedestrian,4 wheel drive / SUV,Pedestrian,2,1,0,1,0,1,January,Summer,Wednesday,20:00 - 21:59,Evening / night,False,True,False,True
1341174,Fatal,Fatal,2024,2024,January,Friday,14:00 - 15:59,WISEMANS FERRY,RD,150,West,PARUKALA,RD,MANGROVE MOUNTAIN,225.0,No,Not a school zone,2-way undivided,-33.293771,151.21252,Central Coast,Country urban,Syd-Newc-Woll Gtr conurbation,Straight,Steep grade,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,80 km/h,Regional,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,Semi-trailer,,2,1,0,1,0,1,January,Summer,Friday,14:00 - 15:59,Midday / afternoon,False,True,False,True
1341175,Fatal,Fatal,2024,2024,January,Friday,16:00 - 17:59,CANTERBURY,RD,0,Right on the spot,MAVIS,ST,REVESBY,167.0,No,Not a school zone,T-junction,-33.937306,151.020794,Canterbury-Bankstown,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,70 km/h,State,13,Right near,104,Adj - Right-thru from right,,Right angle,4 wheel drive / SUV,Motorcycle,2,1,0,1,0,1,January,Summer,Friday,16:00 - 17:59,PM peak / evening commute,True,True,False,True
1341176,Fatal,Fatal,2024,2024,January,Sunday,22:00 - Midnight,PRINCES,HWY,1000,South,SHELLHARBOUR ROAD,OP,DUNMORE,1.0,No,Not a school zone,Divided road,-34.597625,150.841959,Shellharbour,Wollongong met. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,100 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Large rigid,Motor scooter,2,1,1,1,0,1,January,Summer,Sunday,22:00 - Midnight,Evening / night,False,True,False,True
1341560,Fatal,Fatal,2024,2024,January,Wednesday,04:00 - 05:59,BELUBULA,WAY,2800,West,WELLS,LANE,MANDURAMA,7511.0,No,Not a school zone,2-way undivided,-33.650508,148.927955,Blayney,Country non-urban,Rest of NSW - Rural,Curved,Steep grade,,,Nil,Sealed,Wet,Overcast,Darkness,Nil,No traffic controls,100 km/h,Regional,85,Off rt/lft bnd=>obj,804,Off left bend into obj,Right,Vehicle - Object,Light truck,,1,1,0,0,0,1,January,Summer,Wednesday,04:00 - 05:59,Late night / early morning,False,True,False,True
